make,model,year,price,odometer
Audi,Q3,2016,19970.0,79900
Chevrolet,Chevy Van,1985,18990.0,146000
Hyundai,i30,2020,27490.0,17200
Tesla,Model 3,2019,21889.0,118302
Suzuki,Swace,2024,27445.0,5
Cadillac,CTS,2018,69950.0,81744
Skoda,Fabia,2024,18560.0,6000
Renault,Scenic,2007,2999.0,95300
Bentley,Flying Spur,2010,55900.0,44538
Mercedes-Benz,GLC 300,2020,41900.0,48300
Kia,Ceed / cee'd,2017,8600.0,149220
Ford,Mondeo,2018,17950.0,60409
Citroen,C3,2021,12900.0,20000
Mercedes-Benz,CLA 200,2015,17490.0,144311
Renault,Megane,2020,18350.0,108041
Jaguar,E-Pace,2021,31990.0,64762
Kia,Sportage,2024,28890.0,0
Land-Rover,Range Rover,2023,136500.0,19900
Honda,Jazz,2023,24450.0,7872
Honda,HR-V,2024,27980.0,7000
Lexus,NX 300,2018,24000.0,79500
Citroen,Berlingo,2013,5990.0,66000
Volkswagen,Golf,2014,6990.0,256500
Kia,EV6,2023,35990.0,6231
Tesla,Model 3,2022,23799.0,136000
Mercedes-Benz,ML 280,2006,5950.0,318472
Lexus,NX 300,2018,19200.0,129000
Citroen,C4,2016,7980.0,101324
Volvo,XC60,2021,37990.0,67000
Citroen,C3,2022,13800.0,8258
Volvo,XC40,2020,21730.0,97000
Mercedes-Benz,B 200,2013,10499.0,118152
Alfa-Romeo,Giulia,2018,29990.0,108000
Porsche,Cayenne,2024,132900.0,7497
Tesla,Model 3,2019,21850.0,116105
Hyundai,i30,2018,12987.0,52500
Volvo,XC40,2021,26990.0,50799
BMW,520,2018,24900.0,82286
Fiat,Panda,2019,10900.0,76000
Opel,Corsa,2020,12900.0,37083
Alfa-Romeo,Stelvio,2021,33990.0,65000
SEAT,Arona,2020,13990.0,47000
Volkswagen,Arteon,2019,30350.0,70500
Renault,Arkana,2024,26500.0,500
Dacia,Sandero,2021,12550.0,29092
Kia,Sportage,2017,18979.0,42216
Jeep,Renegade,2022,20900.0,39000
Fiat,Strada,2009,7700.0,168000
Toyota,Auris,2011,4950.0,220000
Suzuki,Vitara,2016,11860.0,103325
Tesla,Model S,2016,29950.0,175374
Land-Rover,Range Rover Velar,2020,41950.0,43570
Tesla,Model X,2019,42800.0,170000
Audi,Q5,2019,26890.0,72800
BMW,320,2020,17250.0,163521
Cadillac,Escalade,2016,65000.0,102877
Lamborghini,Urus,2022,239900.0,15000
Tesla,Model X,2018,33880.0,99861
Renault,Clio,2021,11900.0,90389
Fiat,500,2022,10700.0,65169
Kia,Stonic,2020,14990.0,55440
Peugeot,5008,2012,5500.0,200000
Cadillac,ATS,2016,12400.0,228000
Opel,Corsa,2017,9900.0,49899
Dacia,Lodgy,2019,14970.0,41059
Toyota,Yaris,2021,21990.0,39353
Skoda,Karoq,2022,25980.0,21664
Dodge,RAM,2019,53490.0,90000
Volkswagen,Tiguan,2024,27490.0,26600
Citroen,C3 Aircross,2024,17990.0,9800
Renault,Laguna,2005,1490.0,211901
Honda,ZR-V,2023,39990.0,9000
Volvo,S60,2021,27950.0,73437
Jeep,Compass,2019,16750.0,99488
Ford,Grand C-Max,2016,6499.0,175110
Hyundai,i10,2019,12900.0,52498
Rolls-Royce,Silver Spirit,1982,13500.0,120000
Nissan,Micra,2022,12800.0,37017
Jeep,Compass,2023,26490.0,19890
Dacia,Sandero,2011,3450.0,99601
Hyundai,i10,2009,2990.0,180098
BMW,330,2020,36495.0,38748
SEAT,Ibiza,2019,11990.0,48610
Volkswagen,Golf,2018,8999.0,196000
Volvo,XC40,2022,29990.0,49782
Citroen,C1,2019,10490.0,48000
Lamborghini,Huracán,2022,279999.0,21419
Chevrolet,Corvette,2024,220000.0,1
Dacia,Sandero,2024,14300.0,10
Volkswagen,Polo,2021,13249.0,84725
Lexus,UX 300e,2023,39990.0,3279
Kia,ProCeed / pro_cee'd,2019,22500.0,31844
Lamborghini,Huracán,2022,460000.0,1000
Cadillac,Escalade,2019,72900.0,110126
Lexus,SC 430,2010,19990.0,63000
Porsche,Cayenne,2018,45714.0,149808
Nissan,X-Trail,2018,14999.0,154000
Alfa-Romeo,Giulia,2021,23500.0,96075
Ford,Fiesta,2013,6990.0,79000
Toyota,Yaris,2015,11888.0,114985
Jeep,Renegade,2022,18990.0,48000
Audi,Q7,2006,14900.0,90000
Cadillac,XT4,2020,26950.0,115000
CUPRA,Formentor,2022,26990.0,66815
Chevrolet,Blazer,1985,31535.0,70000
Skoda,Kodiaq,2022,31980.0,19842
Honda,Accord,2010,10980.0,109692
Cadillac,Fleetwood,1990,14950.0,44246
Audi,A3,2015,9900.0,185000
Ferrari,488,2020,660000.0,5900
Suzuki,Alto,2011,2947.0,178727
Volvo,V60,2022,34750.0,18691
Land-Rover,Range Rover Velar,2020,44950.0,51000
SEAT,Ibiza,2022,14990.0,22564
SEAT,Leon,2016,9980.0,247000
Alfa-Romeo,Stelvio,2019,17900.0,169000
Volvo,V90,2017,18900.0,185000
Jeep,Compass,2018,14000.0,92000
Land-Rover,Discovery Sport,2018,17990.0,129568
Renault,ZOE,2020,9980.0,45000
Alfa-Romeo,Stelvio,2019,18999.0,148200
Renault,Twingo,2024,15950.0,2010
Suzuki,Jimny,2001,7900.0,174900
Hyundai,i30,2016,8790.0,122845
Aston-Martin,Rapide,2013,69900.0,86126
CUPRA,Terramar,2024,53290.0,4000
Kia,Stonic,2024,18290.0,12800
Ford,Focus,2009,4999.0,155339
Chevrolet,Cruze,2013,1800.0,296000
Mercedes-Benz,Sprinter,2016,11800.0,298000
Hyundai,KONA,2022,18980.0,22518
Peugeot,5008,2024,33270.0,200
Cadillac,ATS,2018,21990.0,124900
Nissan,Pixo,2010,1980.0,245000
BMW,X1,2019,19950.0,117598
Volkswagen,Golf Sportsvan,2020,16490.0,36000
Ford,Mustang Mach-E,2022,38490.0,29944
Ferrari,F8 Tributo,2020,295000.0,42482
Ferrari,360,2003,102000.0,55557
Alfa-Romeo,Stelvio,2020,20300.0,131107
Opel,Crossland X,2019,12450.0,50680
CUPRA,Formentor,2021,22300.0,134942
Peugeot,108,2016,6499.0,104034
Volkswagen,Golf,2022,25970.0,62000
Honda,CR-V,2015,17950.0,117682
Volvo,XC90,2023,63850.0,13431
Toyota,Aygo,2014,7100.0,60648
Tesla,Model 3,2020,23900.0,52000
Mercedes-Benz,A 200,2023,27970.0,14330
Nissan,Micra,2022,14990.0,17397
Ford,Puma,2000,2200.0,103599
Dacia,Lodgy,2019,8277.0,118439
Aston-Martin,DB12,2024,247888.0,100
Opel,Astra,2010,5399.0,124910
Lexus,LS 430,2005,9800.0,267400
Dodge,Charger,2019,44980.0,59160
CUPRA,Formentor,2021,25970.0,61300
Corvette,C3,1982,32500.0,81000
Renault,Clio,2025,16500.0,1
Opel,Zafira,2014,2975.0,174100
Hyundai,BAYON,2021,15900.0,21992
Lexus,RX 450h,2020,39880.0,50500
Land-Rover,Range Rover Evoque,2020,27950.0,95133
Land-Rover,Range Rover Evoque,2018,21500.0,47800
Tesla,Model Y,2022,44990.0,15000
Dacia,Lodgy,2021,16880.0,59288
Jeep,Grand Cherokee,2019,16491.0,199847
Audi,A3,2014,10999.0,211980
Hyundai,KONA,2024,26990.0,24102
Volvo,V70,2002,3299.0,267578
Mercedes-Benz,A 180,2016,16950.0,145956
Ford,Kuga,2017,14990.0,164351
Tesla,Model S,2016,27950.0,250677
SEAT,Ibiza,2011,3499.0,142163
Honda,Civic,2023,53890.0,1500
Honda,ZR-V,2024,40980.0,10
Mercedes-Benz,C 200,2018,21990.0,133769
Opel,Crossland,2021,17980.0,39000
Opel,Grandland X,2021,21990.0,34238
Jaguar,E-Pace,2018,17999.0,137000
CUPRA,Leon,2021,27995.0,26120
Peugeot,208,2018,12750.0,22513
Toyota,Verso,2012,7500.0,154000
Cadillac,Escalade,2023,113900.0,12900
Nissan,Micra,2018,10789.0,49659
Lexus,NX 350h,2024,47000.0,10150
Volvo,V70,2006,1250.0,480620
Toyota,Corolla,2019,21950.0,19276
Fiat,Panda,2024,9950.0,1
Volkswagen,Golf,2020,16440.0,9600
Tesla,Model S,2016,29990.0,112090
Tesla,Model X,2017,35950.0,141931
Opel,Astra,2022,15995.0,63000
Land-Rover,Defender,2016,64950.0,36253
Dacia,Dokker,2021,14150.0,27000
Jeep,Cherokee,2014,12500.0,155000
Suzuki,Jimny,2011,8499.0,242000
Suzuki,Swift,2016,8750.0,67011
Bentley,Continental GT,2025,373500.0,100
Honda,e,2020,16500.0,27500
Jaguar,XE,2018,15900.0,100325
Rolls-Royce,Ghost,2010,109900.0,85000
Fiat,Grande Punto,2006,1450.0,238642
Peugeot,208,2022,13900.0,67000
Nissan,Qashqai,2014,9990.0,88586
Cadillac,Escalade,2022,178500.0,100
Chevrolet,Corvette,2017,79800.0,17000
Honda,Civic,2018,37990.0,41432
Citroen,C5 X,2023,27590.0,16600
Hyundai,TUCSON,2016,14950.0,125000
Chevrolet,Corvette,2020,105000.0,27500
Volvo,S90,2016,24300.0,97100
Honda,e,2020,18995.0,46531
Fiat,500X,2019,11500.0,112000
Porsche,Macan,2016,34950.0,130000
Alfa-Romeo,Tonale,2024,33980.0,15419
Suzuki,Swift,2022,13480.0,37000
Fiat,Panda,2025,15990.0,3000
Renault,Espace,2016,12900.0,150000
Toyota,Corolla,2020,18550.0,59000
Nissan,Qashqai,2024,30910.0,5
SEAT,Alhambra,2005,2600.0,221041
Suzuki,Jimny,2006,10990.0,151600
Volkswagen,Golf,2013,8250.0,220000
BMW,520,2017,14480.0,180000
Cadillac,BLS,2007,1450.0,250577
Volvo,XC60,2017,21600.0,121200
Peugeot,308,2017,10800.0,67000
Citroen,C4 Aircross,2012,6900.0,130980
Honda,Civic,2019,37480.0,41366
Corvette,C4,1987,19100.0,122256
Audi,A5,2019,26950.0,56378
Citroen,Grand C4 SpaceTourer,2019,14990.0,71450
Chevrolet,Spark,2011,3790.0,82000
Volvo,V60,2020,29900.0,78248
Citroen,C3,2017,7999.0,95252
Suzuki,SX4 S-Cross,2024,26470.0,11760
Tesla,Model S,2017,43900.0,99800
Land-Rover,Discovery Sport,2021,32160.0,52244
Nissan,Qashqai+2,2009,6999.0,188672
Rolls-Royce,Ghost,2021,259000.0,21000
Toyota,Corolla,2021,20480.0,24384
Audi,A4,2015,12993.0,196683
Chevrolet,Camaro,2010,14950.0,175142
Kia,Sorento,2014,16880.0,97900
Ford,Fiesta,2019,9900.0,85000
Skoda,Superb,2020,22950.0,45410
Renault,Clio,2019,8350.0,146123
Mercedes-Benz,B 180,2020,24900.0,48900
Opel,Crossland X,2022,13901.0,60000
Cadillac,Eldorado,1978,1100.0,50000
Renault,Captur,2021,18049.0,36078
Skoda,Kodiaq,2017,22990.0,67807
Jeep,Renegade,2019,17995.0,56975
SEAT,Leon,2018,11480.0,176000
Bentley,Continental,2008,49990.0,112500
Ford,Transit Custom,2019,12500.0,161500
Nissan,Micra,2005,995.0,216325
Bentley,Flying Spur,2021,184000.0,57622
Citroen,C4,2024,18900.0,10
Volvo,XC40,2020,23950.0,114977
Peugeot,107,2011,3350.0,158587
Tesla,Model X,2018,47900.0,54000
Nissan,Qashqai,2024,23990.0,6000
Fiat,500C,2013,7400.0,68000
SEAT,Tarraco,2021,28700.0,113900
Ferrari,California,2012,109995.0,37640
Cadillac,Escalade,2025,216000.0,1
Opel,Corsa,2017,8200.0,53485
Volvo,XC90,2018,35480.0,94700
Skoda,Octavia,2018,20450.0,108779
Citroen,C3,2021,10990.0,63000
Alfa-Romeo,Tonale,2024,28500.0,17000
Tesla,Model Y,2023,36900.0,19000
Hyundai,Atos,2007,1195.0,164010
Suzuki,S-Cross,2018,13500.0,137000
BMW,X2,2021,26980.0,18938
BMW,118,2010,8700.0,144244
Corvette,C8,2023,94990.0,11080
Citroen,C4 Cactus,2019,12990.0,56707
Dacia,Duster,2024,31222.0,4001
Alfa-Romeo,Giulietta,2014,5300.0,227000
Lamborghini,Espada,1974,99990.0,82000
Chevrolet,Silverado,2021,45950.0,125000
Dacia,Duster,2018,13889.0,56461
Volkswagen,Golf Variant,2013,3202.0,321000
Suzuki,Baleno,2019,12799.0,54737
Maserati,Levante,2017,33900.0,137537
Peugeot,5008,2020,24990.0,119000
Jeep,Compass,2019,12900.0,104000
Fiat,Doblo,2016,6100.0,208910
Bentley,Bacalar,2021,2250000.0,900
Skoda,Kamiq,2021,16995.0,55500
CUPRA,Formentor,2022,28490.0,16896
Volvo,XC90,2020,34900.0,111368
Peugeot,208,2021,12970.0,31995
Tesla,Model 3,2019,19950.0,159577
Alfa-Romeo,Tonale,2023,29990.0,24400
Honda,CR-V,2020,25450.0,81854
Land-Rover,Range Rover,2018,53945.0,149000
Lexus,UX 250h,2024,49900.0,5400
Suzuki,S-Cross,2017,12950.0,135466
Dacia,Duster,2024,23750.0,25
Volkswagen,Touran,2011,5600.0,256000
Dacia,Sandero,2021,12500.0,89373
SEAT,Leon,2017,20950.0,47500
Nissan,NV200,2013,11990.0,102586
Hyundai,i20,2024,15480.0,34958
Volkswagen,Polo,2018,14900.0,83985
Opel,Corsa,2024,23450.0,12
SEAT,Alhambra,2020,26449.0,112450
Corvette,C4,1992,39999.0,32000
Cadillac,Escalade,2012,14995.0,235720
BMW,116,2021,19900.0,80663
Opel,Karl,2018,8900.0,28000
Renault,Megane,2019,14500.0,60930
Jeep,Compass,2022,23550.0,57039
Honda,HR-V,2023,29900.0,6700
SEAT,Ateca,2020,21949.0,89305
Dacia,Duster,2024,24995.0,15
Bentley,Continental,2017,74900.0,67000
Alfa-Romeo,Stelvio,2019,48985.0,56630
Peugeot,308,2019,8950.0,143898
Fiat,Fiorino,2014,4500.0,132333
Opel,Zafira,2007,2600.0,237743
Toyota,Corolla Cross,2022,29500.0,22013
Honda,CR-V,2017,16900.0,85000
Land-Rover,Range Rover Sport,2018,34850.0,190000
Dacia,Duster,2021,13990.0,42895
BMW,320,2016,16990.0,160000
Citroen,C5 Aircross,2023,29950.0,13761
Skoda,Scala,2023,22460.0,23000
Lexus,UX 300e,2020,22400.0,115556
Toyota,bZ4X,2023,28890.0,23923
Toyota,RAV 4,2003,4990.0,169000
Jaguar,XF,2017,16990.0,125000
Citroen,Grand C4 SpaceTourer,2022,16490.0,76510
Jeep,Cherokee,2019,27440.0,59033
Volkswagen,up!,2012,2450.0,237000
Jaguar,F-Pace,2022,41970.0,23500
CUPRA,Formentor,2021,27395.0,31493
CUPRA,Leon,2022,22990.0,28100
Ford,Edge,2017,14000.0,127868
Ford,Puma,2023,17400.0,21000
Audi,Q8 e-tron,2024,74995.0,883
Opel,Tigra,2006,2697.0,214970
Honda,Jazz,2021,19990.0,32850
Volkswagen,Golf,2021,22900.0,55023
Renault,Megane,2012,5990.0,100000
Audi,Q2,2019,19900.0,41334
Land-Rover,Range Rover Evoque,2017,19900.0,99000
Mercedes-Benz,ML 250,2011,14900.0,222000
Lamborghini,Aventador,2019,579900.0,4900
Lexus,NX 300h,2021,27990.0,70000
Mercedes-Benz,E 220,2015,21990.0,90000
Opel,Adam,2019,8901.0,108086
BMW,X1,2020,21190.0,42000
Audi,A4,2021,20450.0,125000
Mercedes-Benz,GLE 350,2015,37850.0,135300
Ford,Grand C-Max,2016,7750.0,129000
Land-Rover,Discovery,2006,7800.0,259000
SEAT,Ibiza,2018,10499.0,135322
Mercedes-Benz,CLA 180,2016,17700.0,53800
Volvo,V40,2015,9990.0,136631
Citroen,C5 X,2023,26500.0,1045
Ford,Fiesta,2018,9999.0,126041
Dacia,Sandero,2025,16790.0,10
Jaguar,XJ,2013,26750.0,68500
Suzuki,Vitara,2022,22790.0,27800
Dacia,Duster,2011,6990.0,73030
Maserati,Levante,2017,37900.0,79800
BMW,X3,2016,23450.0,98509
Bentley,Bentayga,2017,129000.0,56600
Alfa-Romeo,Brera,2006,21990.0,63993
Skoda,Octavia,2020,18950.0,61459
Fiat,Punto,2010,5950.0,59000
Opel,Corsa,2016,12500.0,92500
Suzuki,Ignis,2024,17890.0,13099
Audi,A3,2018,15990.0,88068
Opel,Astra,2019,4999.0,159700
Hyundai,i10,2015,6990.0,68330
Toyota,Yaris,2013,10470.0,97342
Dacia,Spring,2023,14000.0,2500
Toyota,C-HR,2017,17900.0,89547
Nissan,Qashqai,2020,18950.0,94000
Dodge,Challenger,2016,31700.0,71005
Suzuki,Jimny,2024,33590.0,5000
Skoda,Kodiaq,2025,45549.0,500
Mercedes-Benz,B 180,2017,13500.0,82581
SEAT,Ateca,2019,20989.0,116450
Aston-Martin,Vantage,2012,134950.0,23557
Opel,Corsa-e,2021,14990.0,13858
BMW,320,2022,26990.0,46600
Land-Rover,Range Rover Velar,2023,49490.0,33800
Tesla,Model 3,2019,21490.0,93575
Skoda,Superb,2020,21420.0,126536
Nissan,Qashqai,2015,10900.0,122387
Alfa-Romeo,166,2005,2800.0,269000
Alfa-Romeo,Tonale,2022,29941.0,23974
Tesla,Model 3,2020,23550.0,53633
Hyundai,i20,2023,15480.0,42431
Kia,Rio,2022,14900.0,22224
Chevrolet,Camaro,2017,33900.0,65214
Aston-Martin,DBS,2019,237007.0,11500
Maserati,GranTurismo,2015,69990.0,69690
BMW,X1,2019,15400.0,123000
Hyundai,Grand Santa Fe,2018,24850.0,146639
Renault,Scenic,2024,44200.0,5600
Renault,Clio,2021,14900.0,34000
Alfa-Romeo,MiTo,2009,3490.0,171026
Jeep,Compass,2021,22970.0,38000
Hyundai,TUCSON,2020,20490.0,82249
Fiat,500,2012,6455.0,99000
Kia,Niro,2022,26800.0,19983
Peugeot,208,2024,15990.0,10
Fiat,500X,2022,16100.0,61000
Chevrolet,Spark,2010,3595.0,119474
Nissan,Note,2010,8750.0,75932
Suzuki,Swift,2020,9590.0,49538
Dacia,Duster,2024,25900.0,530
Audi,A3,2014,11990.0,199000
Chevrolet,Captiva,2012,11999.0,92891
Opel,Astra,2014,6750.0,169373
Skoda,Scala,2023,18256.0,13120
Chevrolet,Camaro,2013,38900.0,27700
Renault,Megane,2021,30190.0,45888
Dacia,Duster,2019,12690.0,109551
Peugeot,2008,2024,23877.0,20350
Mercedes-Benz,A 160,2010,4799.0,160093
Honda,HR-V,2023,27980.0,1034
Tesla,Model S,2017,31950.0,87437
Dacia,Spring,2022,11480.0,24000
Fiat,124 Spider,2019,21800.0,33836
Citroen,Spacetourer,2021,22990.0,26414
Lexus,UX 250h,2021,21090.0,43698
Mercedes-Benz,GLA 200,2016,20990.0,70020
Jaguar,E-Pace,2021,28490.0,79028
BMW,X1,2016,17900.0,96200
Toyota,RAV 4,2023,36990.0,24756
Cadillac,Escalade,2010,18335.0,153000
Renault,Twingo,2010,2995.0,149457
Audi,Q5,2009,11950.0,178799
Nissan,Qashqai,2014,9945.0,192538
BMW,320,2018,15999.0,133390
Nissan,Micra,2015,7900.0,59006
CUPRA,Formentor,2024,21850.0,27195
Skoda,Fabia,2024,18980.0,125
Toyota,Corolla,2020,23950.0,60940
Skoda,Karoq,2021,25800.0,81902
SEAT,Ibiza,2021,14480.0,29750
Skoda,Superb,2019,25990.0,70085
Hyundai,KONA,2023,22990.0,16163
Rolls-Royce,Phantom,2006,129900.0,86690
Dodge,RAM,2017,32610.0,277905
Chevrolet,Camaro,2023,39950.0,20000
Bentley,Continental,2017,123900.0,27932
Suzuki,Swift,2016,7786.0,176280
Ford,Focus,2010,4799.0,152808
Volkswagen,Golf GTD,2018,19999.0,191612
Chevrolet,Corvette,1957,75000.0,95800
Suzuki,Swift,2024,20974.0,50
Skoda,Octavia,2016,15890.0,136749
Alfa-Romeo,Giulietta,2019,15999.0,40687
BMW,530,2015,24999.0,101000
Volkswagen,Golf,2009,7750.0,166872
Renault,Clio,2012,3800.0,185000
Fiat,500,2015,7950.0,89000
Jaguar,E-Pace,2021,27900.0,116000
Dodge,RAM,2024,74900.0,500
Ford,Tourneo Courier,2019,13990.0,41900
Dacia,Sandero,2013,6490.0,135653
Peugeot,2008,2021,17830.0,35158
Audi,A3,2011,7450.0,133000
Peugeot,2008,2022,14990.0,50828
Dacia,Duster,2025,24990.0,30
Hyundai,TUCSON,2023,27995.0,150
Skoda,Superb,2014,7990.0,210682
Chevrolet,Trailblazer,2024,22900.0,4300
Jaguar,F-Pace,2025,99800.0,0
Suzuki,S-Cross,2024,21800.0,13514
Honda,Jazz,2003,3900.0,150000
Ford,Focus,2020,8950.0,135470
Fiat,Grande Punto,2008,1895.0,183984
Chevrolet,Captiva,2012,3400.0,137000
Skoda,Kodiaq,2017,16400.0,72900
Skoda,Octavia,2021,28980.0,31960
Jaguar,E-Pace,2023,45900.0,33000
Kia,XCeed,2020,21990.0,48588
Dacia,Sandero,2024,16350.0,37289
Kia,Ceed SW / cee'd SW,2018,10990.0,128500
Mercedes-Benz,CLA 180,2014,14900.0,99000
Maserati,Levante,2022,53950.0,39410
SEAT,Leon,2019,16950.0,99789
Volkswagen,Golf,2017,10499.0,213294
BMW,116,2012,8000.0,139520
Chevrolet,Camaro,2014,23000.0,70000
Opel,Corsa,2016,7450.0,127590
Honda,Accord,2018,29950.0,48010
Peugeot,108,2017,6950.0,85497
Land-Rover,Range Rover Evoque,2022,39500.0,34205
Cadillac,Seville,2009,8999.0,135000
Mercedes-Benz,B Electric Drive,2016,12500.0,44425
Citroen,C4,2023,22190.0,8953
Audi,Q7,2011,12975.0,223000
Toyota,Proace,2021,22890.0,20043
Aston-Martin,Virage,1990,67500.0,22500
Citroen,C4,2024,23990.0,10
Honda,Civic,2019,16750.0,89073
Volvo,XC60,2020,31600.0,65957
Alfa-Romeo,Junior,2024,28900.0,10
Citroen,C1,2020,10990.0,35600
Peugeot,307,2003,1995.0,156119
SEAT,Leon,2014,16950.0,73983
Opel,Grandland,2023,23775.0,20
Peugeot,3008,2012,6282.0,116990
Honda,HR-V,2022,27830.0,16494
Audi,A3,2020,26990.0,61000
Cadillac,ATS,2017,37900.0,87123
Volkswagen,Caddy,2019,19600.0,69538
Renault,Megane,2018,12480.0,102624
Peugeot,2008,2022,16900.0,36980
Honda,Civic,2020,38600.0,41150
Kia,Sportage,2012,9990.0,160000
Opel,Astra,2024,24970.0,10
Dacia,Logan,2008,2445.0,211535
Volkswagen,Golf,2016,8300.0,159000
Ford,Fiesta,2013,9000.0,25604
Hyundai,iX35,2015,10900.0,78500
Mercedes-Benz,Vito,2011,7990.0,194000
Hyundai,TUCSON,2019,21490.0,92000
CUPRA,Formentor,2023,26390.0,26310
Hyundai,i20,2019,9950.0,86167
Audi,A5,2020,19990.0,174000
Tesla,Model X,2017,34990.0,114038
Volvo,XC90,2017,26990.0,192540
Chevrolet,Aveo,2011,4200.0,82000
Lexus,LC 500,2017,64990.0,66200
BMW,X1,2014,11790.0,141800
Bentley,Bentayga,2024,215999.0,6235
Dacia,Duster,2024,18900.0,5500
Suzuki,Ignis,2019,11900.0,73087
Aston-Martin,DBS,2010,185900.0,24500
Citroen,C1,2010,3449.0,110906
Mercedes-Benz,CLA 200,2023,33900.0,1900
SEAT,Leon,2021,19890.0,49600
Lamborghini,Gallardo,2005,88500.0,55700
Tesla,Model S,2014,25990.0,134720
Renault,Captur,2020,11900.0,26476
Land-Rover,Range Rover Evoque,2021,39950.0,62500
CUPRA,Formentor,2021,22950.0,121800
Dodge,RAM,2025,105990.0,1000
Volkswagen,e-Golf,2020,16169.0,35207
CUPRA,Formentor,2022,26490.0,16000
Cadillac,STS,2005,7900.0,117000
Suzuki,SX4 S-Cross,2024,23800.0,99
Cadillac,SRX,2005,9800.0,190000
Chevrolet,Silverado,2021,42500.0,31800
Porsche,911,2023,179990.0,17530
Mercedes-Benz,C 180,2015,15480.0,136980
Kia,Ceed / cee'd,2017,11890.0,118000
Mercedes-Benz,A 250,2021,25370.0,55167
Land-Rover,Range Rover Evoque,2021,30750.0,70450
Tesla,Model Y,2023,33490.0,48000
Jaguar,S-Type,2005,6999.0,170300
BMW,318,2018,18990.0,79480
Dacia,Sandero,2021,13900.0,40000
SEAT,Ateca,2019,17950.0,94144
Fiat,Panda,2023,11900.0,15000
Corvette,C7,2016,69900.0,11100
CUPRA,Formentor,2022,22900.0,86620
Chevrolet,Corvette,1975,27000.0,0
Land-Rover,Range Rover Sport,2006,8750.0,238993
Kia,Sportage,2022,26890.0,97000
Chevrolet,Orlando,2012,4500.0,214800
Peugeot,208,2022,11800.0,55000
Audi,A6,2020,28990.0,99000
SEAT,Arona,2019,14970.0,108220
Kia,Rio,2014,7950.0,132399
Land-Rover,Discovery Sport,2017,22500.0,110000
Peugeot,2008,2022,19990.0,43544
Lamborghini,Urus,2023,399900.0,10000
Cadillac,SRX,2004,14950.0,72590
Tesla,Model S,2023,72890.0,29842
Rolls-Royce,Cullinan,2019,579999.0,7600
Peugeot,2008,2016,6990.0,172538
Skoda,Superb,2021,23950.0,24500
Volkswagen,T-Roc,2025,22990.0,200
Dacia,Duster,2018,13889.0,56461
Hyundai,i30,2022,12990.0,76520
BMW,318,2015,8990.0,264500
Fiat,Stilo,2005,1990.0,270000
Cadillac,Escalade,2025,163000.0,1
Bentley,Continental,2017,139900.0,38103
Peugeot,208,2014,4445.0,154242
Honda,Civic,2018,17250.0,97990
Dacia,Duster,2020,12900.0,103755
Jaguar,XF,2018,18450.0,120344
Fiat,Punto Evo,2013,4950.0,126000
BMW,M4,2023,69995.0,29001
Peugeot,Boxer,2017,7990.0,140000
Dacia,Duster,2015,6500.0,159133
Kia,Rio,2020,15950.0,82602
Renault,Austral,2023,26990.0,25200
Nissan,X-Trail,2007,5950.0,268529
Alfa-Romeo,Giulietta,2015,9950.0,84000
Chevrolet,Camaro,2021,36890.0,58000
Skoda,Karoq,2021,19700.0,111000
Lamborghini,Urus,2020,219890.0,39166
Audi,A6,2016,19990.0,192000
Volvo,XC60,2014,14000.0,141230
Skoda,Kodiaq,2024,42710.0,6400
Mercedes-Benz,A 180,2016,13900.0,110406
Citroen,C3,2023,12950.0,14205
Hyundai,NEXO,2019,15993.0,127978
Volkswagen,Golf Sportsvan,2015,9990.0,199990
Aston-Martin,Vantage,2009,69999.0,45483
Dodge,Durango,2018,38105.0,82204
Corvette,C4,1986,8599.0,126000
Lamborghini,Huracán,2023,326000.0,300
Kia,Niro,2019,13990.0,149710
Jaguar,XE,2024,57900.0,4000
Suzuki,Vitara,2021,16900.0,52900
Tesla,Model 3,2023,32950.0,16589
Skoda,Karoq,2022,22900.0,42154
Jeep,Compass,2022,20994.0,89154
Lexus,UX 250h,2019,20900.0,79090
SEAT,Arona,2021,17250.0,30750
Mercedes-Benz,A 180,2019,17500.0,63901
Honda,CR-V,2020,22838.0,56893
Audi,A3,2011,6400.0,284723
Kia,XCeed,2021,20990.0,31000
BMW,225,2017,13700.0,101856
Peugeot,5008,2011,5995.0,137000
Land-Rover,Discovery Sport,2023,41790.0,4670
Alfa-Romeo,Stelvio,2019,20750.0,87657
Volvo,XC40,2021,26900.0,44842
Dodge,RAM,2020,49900.0,86300
Kia,Picanto,2024,15450.0,50
Peugeot,2008,2024,21900.0,4
Toyota,Corolla,2021,23900.0,34074
Jeep,Compass,2020,21980.0,28300
Renault,Austral,2023,29999.0,40258
Land-Rover,Range Rover,2016,26950.0,311220
Land-Rover,Range Rover Sport,2015,29950.0,131060
Volvo,V60,2019,13950.0,240000
Kia,Stonic,2024,17490.0,6500
Skoda,Karoq,2020,29990.0,35000
Hyundai,KONA,2019,15890.0,44500
Audi,A5,2013,13490.0,219600
Volvo,V60,2018,23899.0,70600
Tesla,Model 3,2023,32900.0,8000
Volkswagen,Tiguan,2024,35910.0,16900
Audi,A4,2016,20400.0,99200
Kia,ProCeed / pro_cee'd,2020,26445.0,67500
Lexus,UX 300h,2024,32900.0,80
Nissan,Townstar,2024,22990.0,1200
Lamborghini,Revuelto,2024,699900.0,2900
